Konu adı,2024,2023,2022,2021,2020,2019,2018
Felsefe,,,,,,,
Felsefe ve Bilim (Felsefe’nin Konusu),–,–,–,–,–,–,1
Bilgi Felsefesi,1,1,1,1,–,2,1
Varlık Felsefesi,–,–,–,–,2,1,1
Ahlak Felsefesi,1,1,1,–,–,–,–
Sanat Felsefesi,1,–,–,–,–,–,–
Din Felsefesi,1,–,–,–,1,–,–
20. Yüzyıl Felsefesi (Çağdaş Felsefe),–,1,1,1,–,–,–
Mantık,,,,,,,
Mantığa Giriş,1,1,1,1,2,1,1
Klasik Mantık,2,1,1,1,1,2,2
Mantık ve Dil,–,1,1,1,–,–,–
Psikoloji,,,,,,,
Psikoloji Bilimini Tanıyalım,1,–,–,–,3,1,–
Psikolojinin Temel Süreçleri,–,1,1,1,–,1,–
"Öğrenme, Bellek, Düşünme",1,1,1,1,–,1,2
Ruh Sağlığının Temelleri,1,1,1,1,–,–,–
Sosyoloji,,,,,,,
Sosyolojiye Giriş,1,1,1,1,–,1,–
Birey ve Toplum,–,–,–,–,2,1,1
Toplumsal Yapı,1,–,–,–,1,–,1
Toplumsal Değişme ve Gelişme,–,1,1,1,–,–,1
Toplum ve Kültür,1,–,–,1,–,1,–
Toplumsal Kurumlar,–,1,1,–,–,–,1
TOPLAM SORU SAYISI,12,12,12,12,12,12,12