Konu Başlığı,2024,2023,2022,2021,2020,2019,2018
Doğruda ve Üçgende Açılar,1,3,1,–,1,–,1
Özel Üçgenler,–,–,–,–,2,–,2
Açıortay – Kenarortay,–,–,–,–,–,–,–
Üçgende Alan ve Benzerlik,–,1,–,–,–,–,–
Açı Kenar Bağıntıları,–,–,–,–,–,1,–
Çokgenler,–,–,–,–,1,2,1
Özel Dörtgenler,–,1,–,–,–,–,1
Çember ve Daire,2,2,2,3,2,2,1
Noktanın Analitiği,1,1,1,2,1,–,–
Doğrunun Analitiği,3,–,1,2,1,1,2
Dönüşüm Geometrisi,–,1,1,–,1,1,1
Katı Cisimler,1,1,2,1,1,1,1
Çemberin Analitiği,1,–,1,1,–,–,1
TOPLAM SORU SAYISI,9,10,9,9,10,8,11