Konu Başlığı,2025,2024,2023,2022,2021,2020,2019,2018
Temel Kavramlar,3,2,4,2,3,2,2,1
Sayı Basamakları,–,1,–,–,–,3,–,–
Bölme ve Bölünebilme,–,–,1,–,–,–,1,–
EBOB – EKOK,–,–,–,1,1,–,–,–
Rasyonel Sayılar,–,–,–,–,–,–,–,–
Basit Eşitsizlikler,–,1,1,–,1,1,1,–
Mutlak Değer,–,–,1,–,–,1,1,–
Üslü Sayılar,–,–,1,–,1,1,–,–
Köklü Sayılar,–,–,–,–,–,–,–,–
Çarpanlara Ayırma,–,1,–,1,–,–,–,–
Oran Orantı,–,–,–,–,–,–,–,–
Kümeler,1,1,1,1,1,2,1,–
Mantık,1,1,1,1,1,–,1,4
Fonksiyonlar,2,2,2,2,2,2,2,2
Polinomlar,–,–,2,1,1,2,2,1
2. Dereceden Denklemler ve Eşitsizlikler,1,1,2,2,1,1,–,1
Parabol,–,1,1,–,1,1,1,1
Permütasyon – Kombinasyon – Olasılık – Binom,3,3,3,3,2,3,2,2
Trigonometri,5,5,5,4,5,4,3,3
Karmaşık Sayılar,–,–,–,–,–,2,1,1
Logaritma,2,1,3,2,1,3,3,2
Diziler,2,1,2,1,1,2,1,1
Limit,1,2,–,2,2,–,2,2
Türev,5,3,–,4,3,–,4,4
İntegral,3,5,–,4,4,–,4,4
TOPLAM SORU SAYISI,29,31,30,31,31,30,32,29